,bhk,status,Size(Sq/ft),Price/Sqft,price,bath,area
208,4.0,Ready to move,1725 ,7304,12600000.0,5 ,Sector 137
209,2.0,Ready to move,1110 ,2972,3299000.0,2 ,Noida Extensions
210,4.0,Under Construction,2990 ,11003,32900000.0,4 ,Sector 150
211,2.0,Ready to move,1050 ,3190,3350000.0,2 ,Noida Extensions
212,2.0,Ready to move,1290 ,10852,14000000.0,2 ,Sector 78
213,3.0,Ready to move,1550 ,10645,16500000.0,3 ,Sector 78
214,3.0,Under Construction,1549 ,8457,13000000.0,,Noida Extensions
215,4.0,Under Construction,2038 ,8391,17100000.0,,Noida Extensions
216,3.0,Under Construction,1549 ,8457,13000000.0,,Noida Extensions
217,4.0,Under Construction,2038 ,8391,17100000.0,,Noida Extensions
218,1.0,Ready to move,262 ,28367,7432000.0,,Sector 94
219,1.0,Ready to move,282 ,28345,7993000.0,,Sector 94
220,1.0,Ready to move,298 ,28423,8441000.0,,Sector 94
221,1.0,Ready to move,277 ,28420,7843000.0,,Sector 94
222,3.0,Under Construction,1549 ,8457,13000000.0,,Noida Extensions
223,4.0,Under Construction,2038 ,8391,17100000.0,,Noida Extensions
224,3.0,Under Construction,1549 ,8457,13000000.0,,Noida Extensions
225,4.0,Under Construction,2038 ,8391,17100000.0,,Noida Extensions
226,3.0,Under Construction,2555 ,13000,33200000.0,,Sector 150
227,3.0,Under Construction,1900 ,12210,23200000.0,,Sector 143B
228,3.0,Ready to move,1450 ,2896,4200000.0,3 ,Noida Extensions
229,3.0,Ready to move,1450 ,3103,4500000.0,2 ,Noida Extensions
230,3.0,Ready to move,2050 ,3819,7830000.0,4 ,Noida Extensions
231,3.0,Ready to move,1450 ,2965,4300000.0,3 ,Noida Extensions
232,2.0,Ready to move,1050 ,3047,3200000.0,2 ,Noida Extensions
233,2.0,Ready to move,1050 ,3047,3200000.0,2 ,Noida Extensions
234,2.0,Ready to move,1050 ,3047,3200000.0,2 ,Noida Extensions
235,3.0,Ready to move,1700 ,12000,20400000.0,3 ,Sector 150
236,3.0,Ready to move,2230 ,14394,32100000.0,3 ,Sector 150
237,3.0,Ready to move,1615 ,12260,19800000.0,3 ,Sector 150
238,3.0,Ready to move,2350 ,12297,28900000.0,3 ,Sector 150
239,3.0,Ready to move,2230 ,14439,32200000.0,3 ,Sector 150
240,1.0,Ready to move,600 ,3868,2321000.0,1 ,Sector 73
241,2.0,Ready to move,1100 ,3136,3450000.0,2 ,Sector 74
242,3.0,Ready to move,1200 ,3500,4200000.0,2 ,Sector 73
243,4.0,Ready to move,2283 ,12702,29000000.0,4 ,Sector 107
244,2.0,Ready to move,900 ,3333,3000000.0,2 ,Sector 74
245,3.0,Under Construction,1380 ,8261,11400000.0,2 ,Noida Extensions
246,3.0,Under Construction,1549 ,8457,13000000.0,,Noida Extensions
247,3.0,Under Construction,1549 ,8457,13000000.0,,Noida Extensions
248,4.0,Under Construction,2038 ,8391,17100000.0,,Noida Extensions
249,4.0,Under Construction,2038 ,8391,17100000.0,,Noida Extensions
250,3.0,Under Construction,1769 ,16393,29000000.0,3 ,Sector 117
251,3.0,Under Construction,1915 ,15613,29900000.0,5 ,Sector 150
252,3.0,Ready to move,1375 ,3400,4675000.0,2 ,Sector 74
253,4.0,Under Construction,2990 ,10634,31700000.0,4 ,Sector 150
254,4.0,Under Construction,2990 ,11070,33100000.0,4 ,Sector 150
255,4.0,Under Construction,2990 ,11070,33100000.0,4 ,Sector 150
256,4.0,Under Construction,2990 ,10100,30200000.0,4 ,Sector 150
257,4.0,Under Construction,2990 ,11003,32900000.0,4 ,Sector 150
258,3.0,Ready to move,1870 ,8556,16000000.0,4 ,Sector 77
259,3.0,Under Construction,1779 ,18549,33000000.0,3 ,Sector 75
260,3.0,Under Construction,1779 ,18549,33000000.0,3 ,Sector 75
261,4.0,Under Construction,2990 ,11003,32900000.0,4 ,Sector 150
262,3.0,Under Construction,1969 ,15185,29900000.0,4 ,Sector 117
263,3.0,Under Construction,1380 ,8261,11400000.0,2 ,Noida Extensions
264,3.0,Under Construction,1549 ,8457,13000000.0,,Noida Extensions
265,3.0,Under Construction,1549 ,8457,13000000.0,,Noida Extensions
266,4.0,Under Construction,2038 ,8391,17100000.0,,Noida Extensions
267,4.0,Under Construction,2038 ,8391,17100000.0,,Noida Extensions
268,3.0,Ready to move,2012 ,12425,25000000.0,4 ,Sector 100
269,1.0,Ready to move,650 ,3616,2351000.0,1 ,Sector 74
270,2.0,Ready to move,1100 ,3136,3450000.0,2 ,Sector 74
271,3.0,Ready to move,1200 ,3500,4200000.0,2 ,Sector 73
272,4.0,Ready to move,2283 ,12702,29000000.0,4 ,Sector 107
273,2.0,Ready to move,900 ,3333,3000000.0,2 ,Sector 74
274,3.0,Under Construction,1915 ,15613,29900000.0,5 ,Sector 150
275,3.0,Under Construction,1769 ,16393,29000000.0,3 ,Sector 117
276,3.0,Under Construction,1620 ,7530,12200000.0,3 ,Sector 131
277,1.0,Ready to move,600 ,3868,2321000.0,1 ,Sector 73
278,7.0,Ready to move,1750 ,24857,43500000.0,7 ,Sector 26
279,2.0,Ready to move,1100 ,2954,3250000.0,2 ,Noida Extensions
280,2.0,Ready to move,1040 ,3173,3300000.0,1 ,Noida Extensions
281,3.0,Ready to move,1139 ,3643,4150000.0,2 ,Noida Extensions
282,3.0,Ready to move,1900 ,6842,13000000.0,3 ,Sector 78
283,4.0,Ready to move,1725 ,7304,12600000.0,5 ,Sector 137
284,2.0,Ready to move,1110 ,2972,3299000.0,2 ,Noida Extensions
285,4.0,Under Construction,2990 ,11003,32900000.0,4 ,Sector 150
286,2.0,Ready to move,1050 ,3190,3350000.0,2 ,Noida Extensions
287,3.0,Under Construction,1400 ,3107,4350000.0,3 ,Noida Extensions
288,1.0,Under Construction,600 ,4000,2400000.0,1 ,Noida Extensions
289,3.0,Ready to move,2095 ,11503,24100000.0,4 ,Sector 137
290,3.0,Ready to move,1495 ,11371,17000000.0,3 ,Sector 143
291,1.0,Ready to move,590 ,4025,2375000.0,1 ,Sector 73
292,1.0,Ready to move,600 ,4000,2400000.0,1 ,Sector 73
293,3.0,Under Construction,3355 ,12995,43600000.0,3 ,Sector 150
294,2.0,Ready to move,900 ,3333,3000000.0,2 ,Sector 73
295,1.0,Ready to move,595 ,4008,2385000.0,1 ,Sector 73
296,2.0,Ready to move,1010 ,3465,3500000.0,2 ,Noida Extensions
297,10.0,Ready to move,4200 ,76190,320000000.0,11 ,Sector 15A
298,10.0,Ready to move,15000 ,21333,320000000.0,11 ,Sector 15A
299,2.0,Ready to move,1202 ,7321,8800000.0,3 ,Sector 137
300,4.0,Under Construction,2990 ,11003,32900000.0,4 ,Sector 150
301,2.0,Ready to move,1050 ,3190,3350000.0,2 ,Noida Extensions
302,3.0,Under Construction,2230 ,10538,23500000.0,3 ,Sector 150
303,3.0,Ready to move,2012 ,12425,25000000.0,4 ,Sector 100
304,1.0,Ready to move,650 ,3616,2351000.0,1 ,Sector 74
305,4.0,Ready to move,2810 ,12099,34000000.0,5 ,Sector 93A
306,1.0,Ready to move,610 ,3852,2350000.0,1 ,Sector 73
307,3.0,Ready to move,1750 ,9028,15800000.0,3 ,Sector 150
308,3.0,Ready to move,1695 ,8849,15000000.0,3 ,Sector 137
309,3.0,Ready to move,1625 ,7000,11300000.0,2 ,Sector 150
310,3.0,Ready to move,1655 ,7327,12100000.0,3 ,Sector 150
311,3.0,Ready to move,2190 ,10045,22000000.0,4 ,Sector 150
312,3.0,Ready to move,2000 ,9000,18000000.0,3 ,Sector 150
313,3.0,Under Construction,1900 ,9000,17100000.0,4 ,Sector 143B
314,3.0,Ready to move,1470 ,8333,12200000.0,2 ,Sector 150
315,3.0,Ready to move,1675 ,8438,14100000.0,3 ,Sector 150
316,3.0,Ready to move,1400 ,12500,17500000.0,3 ,Sector 150
317,3.0,Ready to move,2750 ,11018,30300000.0,3 ,Sector 150
318,3.0,Ready to move,2850 ,11017,31400000.0,3 ,Sector 150
319,4.0,Ready to move,3355 ,12995,43600000.0,4 ,Sector 150
320,3.0,Under Construction,2555 ,13000,33200000.0,,Sector 150
321,3.0,Ready to move,1690 ,11000,18500000.0,,Sector 150
322,3.0,Ready to move,1495 ,11000,16400000.0,,Sector 150
323,2.0,Ready to move,1245 ,11000,13600000.0,,Sector 150
324,3.0,Ready to move,1690 ,10059,17000000.0,4 ,Sector 79
325,2.0,Under Construction,975 ,7025,6850000.0,2 ,Sector 131
326,3.0,Under Construction,1900 ,12210,23200000.0,,Sector 143B
327,2.0,Ready to move,1050 ,2904,3050000.0,2 ,Noida Extensions
328,2.0,Ready to move,1050 ,2900,3045000.0,2 ,Noida Extensions
329,3.0,Ready to move,1450 ,2896,4200000.0,3 ,Noida Extensions
330,3.0,Ready to move,3355 ,8554,28700000.0,3 ,Sector 150
331,3.0,Ready to move,2224 ,5190,11500000.0,,Sector 25 Yamuna Express Way
332,2.0,Ready to move,1656 ,5190,8594000.0,,Sector 25 Yamuna Express Way
333,2.0,Ready to move,1685 ,5190,8745000.0,,Sector 25 Yamuna Express Way
334,2.0,Ready to move,1256 ,5190,6518000.0,,Sector 25 Yamuna Express Way
335,2.0,Ready to move,1468 ,5190,7618000.0,,Sector 25 Yamuna Express Way
336,2.0,Ready to move,1435 ,5190,7447000.0,,Sector 25 Yamuna Express Way
337,3.0,Ready to move,2604 ,5190,13500000.0,,Sector 25 Yamuna Express Way
338,2.0,Ready to move,1035 ,7729,8000000.0,2 ,Sector 76
339,4.0,Ready to move,2800 ,14464,40500000.0,4 ,Sector 78
340,3.0,Ready to move,2230 ,14304,31900000.0,3 ,Sector 150
341,3.0,Ready to move,2230 ,14484,32300000.0,3 ,Sector 150
342,3.0,Ready to move,1539 ,32748,50400000.0,3 ,Sector 146
343,3.0,Ready to move,1539 ,32683,50300000.0,3 ,Sector 146
344,3.0,Ready to move,2450 ,11020,27000000.0,3 ,Sector 150
345,4.0,Ready to move,2400 ,5500,13200000.0,,Sector 16B
346,4.0,Ready to move,2500 ,5500,13700000.0,,Sector 16B
347,4.0,Ready to move,2875 ,5500,15800000.0,,Sector 16B
348,3.0,Ready to move,1545 ,8414,13000000.0,3 ,Sector 76
349,2.0,Ready to move,1035 ,7729,8000000.0,2 ,Sector 76
350,3.0,Ready to move,1971 ,11161,22000000.0,3 ,Sector 77
351,3.0,Ready to move,1420 ,8450,12000000.0,2 ,Sector 76
352,3.0,Ready to move,1690 ,9171,15500000.0,3 ,Sector 77
353,2.0,Ready to move,1700 ,27058,46000000.0,2 ,Sector 50
354,2.0,Ready to move,825 ,6545,5400000.0,2 ,Sector 137
355,2.0,Ready to move,1070 ,6074,6500000.0,2 ,Sector 137
356,2.0,Ready to move,960 ,6573,6311000.0,2 ,Sector 137
357,3.0,Ready to move,1725 ,11594,20000000.0,2 ,Sector 137
358,2.0,Ready to move,953 ,6190,5900000.0,2 ,Sector 151
359,3.0,Ready to move,1695 ,6194,10500000.0,4 ,Sector 137
360,3.0,Ready to move,1592 ,6281,10000000.0,3 ,Sector 137
361,2.0,Ready to move,1070 ,6074,6500000.0,2 ,Sector 137
362,3.0,Ready to move,1660 ,5421,9000000.0,2 ,Sector 137
363,3.0,Ready to move,1465 ,11262,16500000.0,3 ,Sector 76
364,2.0,Ready to move,953 ,6453,6150000.0,2 ,Sector 151
365,2.0,Ready to move,953 ,6190,5900000.0,2 ,Sector 151
366,4.0,Ready to move,2890 ,9136,26400000.0,,Sector 79
367,3.0,Ready to move,1495 ,10368,15500000.0,,Sector 79
368,4.0,Ready to move,1350 ,5593,7551000.0,3 ,Sector 151
369,3.0,Under Construction,1549 ,8000,12300000.0,3 ,Sector 150
370,2.0,Under Construction,1262 ,8000,10000000.0,2 ,Sector 150
371,4.0,Under Construction,3027 ,8000,24200000.0,4 ,Sector 150
372,4.0,Under Construction,2697 ,8000,21500000.0,4 ,Sector 150
373,3.0,Under Construction,2062 ,7081,14600000.0,,Sector 150
374,3.0,Under Construction,2330 ,7039,16400000.0,,Sector 150
375,3.0,Under Construction,1380 ,8262,11400000.0,2 ,Noida Extensions
376,3.0,Under Construction,1549 ,8458,13100000.0,,Noida Extensions
377,3.0,Under Construction,1549 ,8458,13100000.0,,Noida Extensions
378,4.0,Under Construction,2038 ,8392,17100000.0,,Noida Extensions
379,4.0,Under Construction,2038 ,8392,17100000.0,,Noida Extensions
380,3.0,Under Construction,1540 ,32741,50300000.0,,Sector 146
381,4.0,Under Construction,1714 ,32731,56100000.0,,Sector 146
382,4.0,Under Construction,3200 ,12800,40900000.0,,Sector 150
383,3.0,Under Construction,2000 ,12800,25600000.0,,Sector 150
384,4.0,Under Construction,3200 ,13226,42300000.0,4 ,Sector 150
385,3.0,Under Construction,2350 ,13308,31200000.0,3 ,Sector 150
386,3.0,Ready to move,2190 ,13999,30600000.0,,Sector 150
387,4.0,Under Construction,1819 ,39727,72200000.0,,Sector 150
